time,MP2.5,temperature_2m,relative_humidity_2m
2016-03-14 00:00:00+00:00,10.0,18.601,93.61612
2016-03-14 01:00:00+00:00,13.0,18.351,94.19751
2016-03-14 02:00:00+00:00,9.0,18.101,95.68699
2016-03-14 03:00:00+00:00,10.0,17.901001,97.203964
2016-03-14 04:00:00+00:00,13.0,17.951,95.682106
2016-03-14 05:00:00+00:00,13.0,17.701,96.8929
2016-03-14 06:00:00+00:00,16.0,17.501,98.12255
2016-03-14 07:00:00+00:00,15.0,17.901001,95.378334
2016-03-14 08:00:00+00:00,12.0,18.001,95.38178
2016-03-14 09:00:00+00:00,10.0,18.101,94.48509
2016-03-14 10:00:00+00:00,9.0,18.351,93.01432
2016-03-14 11:00:00+00:00,7.0,19.401001,86.83634
2016-03-14 12:00:00+00:00,13.0,20.801,80.391
2016-03-14 13:00:00+00:00,15.0,22.351,74.28173
2016-03-14 14:00:00+00:00,20.0,24.001,68.298615
2016-03-14 15:00:00+00:00,26.0,24.401001,68.37742
2016-03-14 16:00:00+00:00,26.0,24.551,68.406906
2016-03-14 17:00:00+00:00,21.0,24.401001,70.33284
2016-03-14 18:00:00+00:00,23.0,23.951,73.166306
2016-03-14 19:00:00+00:00,7.0,22.751,80.39891
2016-03-14 20:00:00+00:00,11.0,21.651001,86.774635
2016-03-14 21:00:00+00:00,13.0,20.701,91.697556
2016-03-14 22:00:00+00:00,13.0,19.901001,94.558365
2016-03-14 23:00:00+00:00,16.0,19.501,95.73192
2016-03-15 00:00:00+00:00,12.0,19.251,96.92897
2016-03-15 01:00:00+00:00,14.0,19.051,96.92436
2016-03-15 02:00:00+00:00,24.0,18.801,96.918564
2016-03-15 03:00:00+00:00,24.0,18.651001,96.61123
2016-03-15 04:00:00+00:00,19.0,18.401001,96.90927
2016-03-15 05:00:00+00:00,14.0,18.051,97.514046
2016-03-15 06:00:00+00:00,16.0,17.851,97.51028
2016-03-15 07:00:00+00:00,12.0,17.951,97.82014
2016-03-15 08:00:00+00:00,14.0,17.851,97.81848
