time,MP2.5,temperature_2m,relative_humidity_2m,mes,hora,dia_semana,MP2.5_imputado_media
2016-03-13 03:00:00+00:00,8.0,17.651001,95.975945,3,3,6,0
2016-03-13 04:00:00+00:00,10.0,17.401001,96.88584,3,4,6,0
2016-03-13 05:00:00+00:00,13.0,17.201,96.88113,3,5,6,0
2016-03-13 06:00:00+00:00,8.0,17.201,96.57399,3,6,6,0
2016-03-13 07:00:00+00:00,9.0,16.901001,96.25923,3,7,6,0
2016-03-13 08:00:00+00:00,15.0,16.901001,96.25923,3,8,6,0
2016-03-13 09:00:00+00:00,10.0,16.801,96.87165,3,9,6,0
2016-03-13 10:00:00+00:00,8.0,17.251,94.75106,3,10,6,0
2016-03-13 11:00:00+00:00,6.0,18.751,85.133545,3,11,6,0
2016-03-13 12:00:00+00:00,13.0,20.201,77.79613,3,12,6,0
2016-03-13 13:00:00+00:00,13.0,21.451,72.49795,3,13,6,0
2016-03-13 14:00:00+00:00,18.0,22.501,68.000694,3,14,6,0
2016-03-13 15:00:00+00:00,18.0,23.201,66.011765,3,15,6,0
2016-03-13 16:00:00+00:00,21.0,23.151001,67.48534,3,16,6,0
2016-03-13 17:00:00+00:00,21.0,22.451,71.76167,3,17,6,0
2016-03-13 18:00:00+00:00,18.0,22.251,74.73505,3,18,6,0
2016-03-13 19:00:00+00:00,15.0,21.801,77.2997,3,19,6,0
2016-03-13 20:00:00+00:00,10.0,20.901001,82.19891,3,20,6,0
2016-03-13 21:00:00+00:00,12.0,19.951,87.16188,3,21,6,0
2016-03-13 22:00:00+00:00,12.0,19.101,91.60003,3,22,6,0
2016-03-13 23:00:00+00:00,8.0,18.751,93.918564,3,23,6,0
2016-03-14 00:00:00+00:00,10.0,18.601,93.61612,3,0,0,0
2016-03-14 01:00:00+00:00,13.0,18.351,94.19751,3,1,0,0
2016-03-14 02:00:00+00:00,9.0,18.101,95.68699,3,2,0,0
2016-03-14 03:00:00+00:00,10.0,17.901001,97.203964,3,3,0,0
2016-03-14 04:00:00+00:00,13.0,17.951,95.682106,3,4,0,0
2016-03-14 05:00:00+00:00,13.0,17.701,96.8929,3,5,0,0
2016-03-14 06:00:00+00:00,16.0,17.501,98.12255,3,6,0,0
2016-03-14 07:00:00+00:00,15.0,17.901001,95.378334,3,7,0,0
2016-03-14 08:00:00+00:00,12.0,18.001,95.38178,3,8,0,0
2016-03-14 09:00:00+00:00,10.0,18.101,94.48509,3,9,0,0
2016-03-14 10:00:00+00:00,9.0,18.351,93.01432,3,10,0,0
2016-03-14 11:00:00+00:00,7.0,19.401001,86.83634,3,11,0,0
2016-03-14 12:00:00+00:00,13.0,20.801,80.391,3,12,0,0
2016-03-14 13:00:00+00:00,15.0,22.351,74.28173,3,13,0,0
2016-03-14 14:00:00+00:00,20.0,24.001,68.298615,3,14,0,0
2016-03-14 15:00:00+00:00,26.0,24.401001,68.37742,3,15,0,0
2016-03-14 16:00:00+00:00,26.0,24.551,68.406906,3,16,0,0
2016-03-14 17:00:00+00:00,21.0,24.401001,70.33284,3,17,0,0
2016-03-14 18:00:00+00:00,23.0,23.951,73.166306,3,18,0,0
2016-03-14 19:00:00+00:00,7.0,22.751,80.39891,3,19,0,0
2016-03-14 20:00:00+00:00,11.0,21.651001,86.774635,3,20,0,0
2016-03-14 21:00:00+00:00,13.0,20.701,91.697556,3,21,0,0
2016-03-14 22:00:00+00:00,13.0,19.901001,94.558365,3,22,0,0
2016-03-14 23:00:00+00:00,16.0,19.501,95.73192,3,23,0,0
2016-03-15 00:00:00+00:00,12.0,19.251,96.92897,3,0,1,0
2016-03-15 01:00:00+00:00,14.0,19.051,96.92436,3,1,1,0
2016-03-15 02:00:00+00:00,24.0,18.801,96.918564,3,2,1,0
2016-03-15 03:00:00+00:00,24.0,18.651001,96.61123,3,3,1,0
2016-03-15 04:00:00+00:00,19.0,18.401001,96.90927,3,4,1,0
2016-03-15 05:00:00+00:00,14.0,18.051,97.514046,3,5,1,0
2016-03-15 06:00:00+00:00,16.0,17.851,97.51028,3,6,1,0
2016-03-15 07:00:00+00:00,12.0,17.951,97.82014,3,7,1,0
2016-03-15 08:00:00+00:00,14.0,17.851,97.81848,3,8,1,0
2016-03-15 09:00:00+00:00,15.0,17.801,97.50934,3,9,1,0
2016-03-15 10:00:00+00:00,11.0,18.151001,96.29433,3,10,1,0
2016-03-15 11:00:00+00:00,12.0,19.851,86.33215,3,11,1,0
2016-03-15 12:00:00+00:00,13.0,21.701,77.284546,3,12,1,0
2016-03-15 13:00:00+00:00,19.0,23.251,71.90615,3,13,1,0
2016-03-15 14:00:00+00:00,20.0,24.801,65.92777,3,14,1,0
2016-03-15 15:00:00+00:00,24.0,25.451,65.44518,3,15,1,0
2016-03-15 16:00:00+00:00,23.0,25.751,65.09978,3,16,1,0
2016-03-15 17:00:00+00:00,41.0,24.651001,67.78618,3,17,1,0
2016-03-15 18:00:00+00:00,36.0,23.801,74.060036,3,18,1,0
2016-03-15 19:00:00+00:00,39.0,23.951,72.93815,3,19,1,0
2016-03-15 20:00:00+00:00,22.0,23.151001,77.744995,3,20,1,0
2016-03-15 21:00:00+00:00,16.0,21.751,85.71079,3,21,1,0
